Sanskit Text	Sanskrit Transliteration	Translation
वर्तंचयः सहुरिर्विक्ष्वारित इन्द्रस्य वोचं पर कर्तानि वीर्या ||	vṛtaṃcayaḥ sahurirvikṣvārita indrasya vocaṃ pra kṛtāni vīryā ||	Host-gatherer, triumphant, honoured mid the folk. Indra's heroic deeds will I tell forth to all.
अनानुदो वर्षभो दोधतो वधो गम्भीर रष्वो असमष्टकाव्यः |	anānudo vṛṣabho dodhato vadho ghambhīra ṛṣvo asamaṣṭakāvyaḥ |	4 The strong who never yields, who slew the furious fiend, the deep, the vast, of wisdom unattainable;
रध्रचोदः शनथनो वीळितस पर्थुरिन्द्रः सुयज्ञ उषसः सवर्जनत ||	radhracodaḥ śnathano vīḷitas pṛthurindraḥ suyajña uṣasaḥ svarjanat ||	Who speeds the good, the breaker-down, the firm, the vast,—Indra whose rites bring joy hath made the light of Dawn.
यज्णेन गातुमप्तुरो विविद्रिरे धियो हिन्वाना उशिजो मनीषिणः |	yajṇena ghātumapturo vividrire dhiyo hinvānā uśijo manīṣiṇaḥ |	5 By sacrifice the yearning sages sending forth their songs found furtherance from him who speeds the flood.
अभिस्वरा निषदा गा अवस्यव इन्द्रे हिन्वाना दरविणान्याशत ||	abhisvarā niṣadā ghā avasyava indre hinvānā draviṇānyāśata ||	In Indra seeking help with worship and with hymn, they drew him to themselves and won them kine and wealth.
इन्द्र शरेष्ठानि दरविणानि धेहि चित्तिं दक्षस्य सुभगत्वं अस्मे |	indra śreṣṭhāni draviṇāni dhehi cittiṃ dakṣasya subhaghatvaṃ asme |	6 Indra, bestow on us the best of treasures, the spirit of ability and fortune;
पोषं रयीणामरिष्टिं तनूनां सवाद्मानं वाचः सुदिनत्वमह्नाम ||	poṣaṃ rayīṇāmariṣṭiṃ tanūnāṃ svādmānaṃ vācaḥ sudinatvamahnām ||	Increase of riches, safety of our bodies, charm of sweet speech, and days of pleasant weather.

गणानां तवा गणपतिं हवामहे कविं कवीनामुपमश्रवस्तमम |	ghaṇānāṃ tvā ghaṇapatiṃ havāmahe kaviṃ kavīnāmupamaśravastamam |	1. WE call thee, Lord and Leader of the heavenly hosts, the wise among the wise, the famousest of all,
जयेष्ठराजं बरह्मणां बरह्मणस पत आ नः षर्ण्वन्नूतिभिः सीद सादनम ||	jyeṣṭharājaṃ brahmaṇāṃ brahmaṇas pata ā naḥ ṣṛṇvannūtibhiḥ sīda sādanam ||	The King supreme of prayers, O Brahmaṇaspati: hear us with help; sit down in place of sacrifice.
देवाश्चित ते असुर्य परचेतसो बर्हस्पते यज्ञियं भागमानशुः |	devāścit te asurya pracetaso bṛhaspate yajñiyaṃ bhāghamānaśuḥ |	2 Bṛhaspati, God immortal! verily the Gods have gained from thee, the wise, a share in holy rites.
उस्रा इव सूर्यो जयोतिषा महो विश्वेषामिज्जनिता बरह्मणामसि ||	usrā iva sūryo jyotiṣā maho viśveṣāmijjanitā brahmaṇāmasi ||	As with great light the Sun brings forth the rays of morn, so thou alone art Father of all sacred prayer.
आ विबाध्या परिरापस्तमांसि च जयोतिष्मन्तं रथं रतस्य तिष्ठसि |	ā vibādhyā parirāpastamāṃsi ca jyotiṣmantaṃ rathaṃ ṛtasya tiṣṭhasi |	3 When thou hast chased away revilers and the gloom, thou mountest the refulgent car of sacrifice;
बर्हस्पते भीमममित्रदम्भनं रक्षोहणंगोत्रभिदं सवर्विदम ||	bṛhaspate bhīmamamitradambhanaṃ rakṣohaṇaṃghotrabhidaṃ svarvidam ||	The awful car, Bṛhaspati, that quells the foe, slays demons, cleaves the stall of kine, and finds the light.
सुनीतिभिर्नयसि तरायसे जनं यस्तुभ्यं दाशान न तमंहो अश्नवत |	sunītibhirnayasi trāyase janaṃ yastubhyaṃ dāśān na tamaṃho aśnavat |	4 Thou leadest with good guidance and preservest men; distress o’ertakes not him who offers gifts to thee.
बरह्मद्विषस्तपनो मन्युमीरसि बर्हस्पते महि तत ते महित्वनम ||	brahmadviṣastapano manyumīrasi bṛhaspate mahi tat te mahitvanam ||	Him who hates prayer thou punishest, Bṛhaspati, quelling his wrath: herein is thy great mightiness.
न तमंहो न दुरितं कुतश्चन नारातयस्तितिरुर्न दवयाविनः |	na tamaṃho na duritaṃ kutaścana nārātayastitirurna dvayāvinaḥ |	5 No sorrow, no distress from any side, no foes, no creatures double-tongued have overcome the man,—
विश्वा इदस्माद धवरसो वि बाधसे यं सुगोपा रक्षसि बरह्मणस पते ||	viśvā idasmād dhvaraso vi bādhase yaṃ sughopā rakṣasi brahmaṇas pate ||	Thou drivest all seductive fiends away from him whom, careful guard, thou keepest Brahmaṇaspati.
तवं नो गोपाः पथिक्र्द विचक्षणस्तव वरताय मतिभिर्जरामहे |	tvaṃ no ghopāḥ pathikṛd vicakṣaṇastava vratāya matibhirjarāmahe |	6 Thou art our keeper, wise, preparer of our paths: we, for thy service, sing to thee with hymns of praise.
बर्हस्पते यो नो अभि हवरो दधे सवा तं मर्मर्तु दुछुना हरस्वती ||	bṛhaspate yo no abhi hvaro dadhe svā taṃ marmartu duchunā harasvatī ||	Bṛhaspati, whoever lays a snare for us, him may his evil fate, precipitate, destroy.
उत वा यो नो मर्चयादनागसो.अरातीवा मर्तः सानुको वर्कः |	uta vā yo no marcayādanāghaso.arātīvā martaḥ sānuko vṛkaḥ |	7 Him, too, who threatens us without offence of ours, the evilminded, arrogant, rapacious man,—
बर्हस्पते अप तं वर्तया पथः सुगं नो अस्यै देववीतये कर्धि ||	bṛhaspate apa taṃ vartayā pathaḥ sughaṃ no asyai devavītaye kṛdhi ||	Him turn thou from our path away, Bṛhaspati: give us fair access to this banquet of the Gods.
तरातारं तवा तनूनां हवामहे.अवस्पर्तरधिवक्तारमस्मयुम |	trātāraṃ tvā tanūnāṃ havāmahe.avaspartaradhivaktāramasmayum |	8 Thee as protector of our bodies we invoke, thee, saviour, as the comforter who loveth us.
बर्हस्पते देवनिदो नि बर्हय मा दुरेवा उत्तरं सुम्नमुन नशन ||	bṛhaspate devanido ni barhaya mā durevā uttaraṃ sumnamun naśan ||	Strike, O Bṛhaspati, the Gods’ revilers down, and let not the unrighteous come to highest bliss.
तवया वयं सुव्र्धा बरह्मणस पते सपार्हा वसु मनुष्या ददीमहि |	tvayā vayaṃ suvṛdhā brahmaṇas pate spārhā vasu manuṣyā dadīmahi |	9 Through thee, kind prosperer, O Brahmaṇaspati, may we obtain the wealth of Men which all desire:
या नो दूरे तळितो या अरातयो.अभि सन्ति जम्भया ता अनप्नसः ||	yā no dūre taḷito yā arātayo.abhi santi jambhayā tā anapnasaḥ ||	And all our enemies, who near or far away prevail against us, crush, and leave them destitute.
तवया वयमुत्तमं धीमहे वयो बर्हस्पते पप्रिणा सस्निना युजा |	tvayā vayamuttamaṃ dhīmahe vayo bṛhaspate papriṇā sasninā yujā |	10 With thee as our own rich and liberal ally may we, Bṛhaspati, gain highest power of life.
मा नो दुःशंसो अभिदिप्सुरीशत पर सुशंसा मतिभिस्तारिषीमहि ||	mā no duḥśaṃso abhidipsurīśata pra suśaṃsā matibhistāriṣīmahi ||	Let not the guileful wicked man be lord of us:—still may we prosper, singing goodly hymns of praise.
अनानुदो वर्षभो जग्मिराहवं निष्टप्ता शत्रुं पर्तनासुसासहिः |	anānudo vṛṣabho jaghmirāhavaṃ niṣṭaptā śatruṃ pṛtanāsusāsahiḥ |	11 Strong, never yielding, hastening to the battle-cry, consumer of the foe, victorious in the strife,
असि सत्य रणया बरह्मणस पत उग्रस्य चिद दमिता वीळुहर्षिणः ||	asi satya ṛṇayā brahmaṇas pata ughrasya cid damitā vīḷuharṣiṇaḥ ||	Thou art sin's true avenger, Brahmaṇaspati, who tamest e’en the fierce, the wildly passionate.
अदेवेन मनसा यो रिशण्यति शासामुग्रो मन्यमानो जिघांसति |	adevena manasā yo riśaṇyati śāsāmughro manyamāno jighāṃsati |	12 Whoso with mind ungodly seeks to do us harm, who, deeming him a man of might mid lords, would slay,—
